strike,maturity_years,is_call,market_price,expiry
170.0,0.0001,True,91.75,2026-03-13
175.0,0.0001,True,98.71,2026-03-13
185.0,0.0001,True,75.86,2026-03-13
190.0,0.0001,True,71.75,2026-03-13
195.0,0.0001,True,63.62,2026-03-13
200.0,0.0001,True,57.68,2026-03-13
205.0,0.0001,True,52.5,2026-03-13
210.0,0.0001,True,45.5,2026-03-13
215.0,0.0001,True,40.2,2026-03-13
220.0,0.0001,True,35.2,2026-03-13
225.0,0.0001,True,30.7,2026-03-13
227.5,0.0001,True,30.4,2026-03-13
230.0,0.0001,True,26.28,2026-03-13
232.5,0.0001,True,27.32,2026-03-13
235.0,0.0001,True,21.0,2026-03-13
237.5,0.0001,True,23.11,2026-03-13
240.0,0.0001,True,15.3,2026-03-13
242.5,0.0001,True,12.81,2026-03-13
245.0,0.0001,True,11.05,2026-03-13
247.5,0.0001,True,8.55,2026-03-13
250.0,0.0001,True,6.0,2026-03-13
170.0,0.0001,False,0.02,2026-03-13
175.0,0.0001,False,0.02,2026-03-13
180.0,0.0001,False,0.03,2026-03-13
185.0,0.0001,False,0.03,2026-03-13
190.0,0.0001,False,0.03,2026-03-13
195.0,0.0001,False,0.02,2026-03-13
200.0,0.0001,False,0.01,2026-03-13
205.0,0.0001,False,0.01,2026-03-13
210.0,0.0001,False,0.01,2026-03-13
215.0,0.0001,False,0.01,2026-03-13
220.0,0.0001,False,0.01,2026-03-13
225.0,0.0001,False,0.02,2026-03-13
227.5,0.0001,False,0.03,2026-03-13
230.0,0.0001,False,0.02,2026-03-13
232.5,0.0001,False,0.02,2026-03-13
235.0,0.0001,False,0.03,2026-03-13
237.5,0.0001,False,0.03,2026-03-13
240.0,0.0001,False,0.04,2026-03-13
242.5,0.0001,False,0.05,2026-03-13
245.0,0.0001,False,0.08,2026-03-13
247.5,0.0001,False,0.15,2026-03-13
250.0,0.0001,False,0.32,2026-03-13
215.0,0.00821917808219178,True,47.17,2026-03-16
220.0,0.00821917808219178,True,40.33,2026-03-16
222.5,0.00821917808219178,True,34.26,2026-03-16
225.0,0.00821917808219178,True,37.32,2026-03-16
227.5,0.00821917808219178,True,28.4,2026-03-16
230.0,0.00821917808219178,True,25.95,2026-03-16
232.5,0.00821917808219178,True,28.29,2026-03-16
235.0,0.00821917808219178,True,20.72,2026-03-16
240.0,0.00821917808219178,True,16.03,2026-03-16
242.5,0.00821917808219178,True,19.23,2026-03-16
245.0,0.00821917808219178,True,11.39,2026-03-16
247.5,0.00821917808219178,True,9.2,2026-03-16
250.0,0.00821917808219178,True,6.4,2026-03-16
200.0,0.00821917808219178,False,0.03,2026-03-16
205.0,0.00821917808219178,False,0.06,2026-03-16
210.0,0.00821917808219178,False,0.05,2026-03-16
215.0,0.00821917808219178,False,0.03,2026-03-16
220.0,0.00821917808219178,False,0.02,2026-03-16
222.5,0.00821917808219178,False,0.03,2026-03-16
225.0,0.00821917808219178,False,0.03,2026-03-16
227.5,0.00821917808219178,False,0.05,2026-03-16
230.0,0.00821917808219178,False,0.08,2026-03-16
232.5,0.00821917808219178,False,0.07,2026-03-16
235.0,0.00821917808219178,False,0.1,2026-03-16
237.5,0.00821917808219178,False,0.14,2026-03-16
240.0,0.00821917808219178,False,0.19,2026-03-16
242.5,0.00821917808219178,False,0.28,2026-03-16
245.0,0.00821917808219178,False,0.41,2026-03-16
247.5,0.00821917808219178,False,0.66,2026-03-16
250.0,0.00821917808219178,False,0.95,2026-03-16
