timestamp,underlying_price
2024-01-02T00:00:00,183.73130798339844
2024-01-03T00:00:00,182.3555908203125
2024-01-04T00:00:00,180.0396728515625
2024-01-05T00:00:00,179.317138671875
2024-01-08T00:00:00,183.6521453857422
2024-01-09T00:00:00,183.2364501953125
2024-01-10T00:00:00,184.27565002441406
2024-01-11T00:00:00,183.6818084716797
2024-01-12T00:00:00,184.00843811035156
2024-01-16T00:00:00,181.74200439453125
2024-01-17T00:00:00,180.80174255371094
2024-01-18T00:00:00,186.69058227539062
2024-01-19T00:00:00,189.59042358398438
2024-01-22T00:00:00,191.89646911621094
2024-01-23T00:00:00,193.1732177734375
2024-01-24T00:00:00,192.50021362304688
2024-01-25T00:00:00,192.17359924316406
2024-01-26T00:00:00,190.44158935546875
2024-01-29T00:00:00,189.75868225097656
2024-01-30T00:00:00,186.1066131591797
2024-01-31T00:00:00,182.50404357910156
2024-02-01T00:00:00,184.9387664794922
2024-02-02T00:00:00,183.9391632080078
2024-02-05T00:00:00,185.7503204345703
2024-02-06T00:00:00,187.35369873046875
2024-02-07T00:00:00,187.46255493164062
2024-02-08T00:00:00,186.3837432861328
2024-02-09T00:00:00,187.1468048095703
2024-02-12T00:00:00,185.46212768554688
2024-02-13T00:00:00,183.3711700439453
2024-02-14T00:00:00,182.48919677734375
2024-02-15T00:00:00,182.2017822265625
2024-02-16T00:00:00,180.66578674316406
2024-02-20T00:00:00,179.9225616455078
2024-02-21T00:00:00,180.67572021484375
2024-02-22T00:00:00,182.70721435546875
2024-02-23T00:00:00,180.87388610839844
2024-02-26T00:00:00,179.5261688232422
2024-02-27T00:00:00,180.98289489746094
2024-02-28T00:00:00,179.7838134765625
2024-02-29T00:00:00,179.11984252929688
2024-03-01T00:00:00,178.0396728515625
2024-03-04T00:00:00,173.52081298828125
2024-03-05T00:00:00,168.58570861816406
2024-03-06T00:00:00,167.59475708007812
2024-03-07T00:00:00,167.47581481933594
2024-03-08T00:00:00,169.19021606445312
2024-03-11T00:00:00,171.1920166015625
2024-03-12T00:00:00,171.66769409179688
2024-03-13T00:00:00,169.5866241455078
2024-03-14T00:00:00,171.4397430419922
2024-03-15T00:00:00,171.0631866455078
2024-03-18T00:00:00,172.15325927734375
2024-03-19T00:00:00,174.49195861816406
2024-03-20T00:00:00,177.0586395263672
2024-03-21T00:00:00,169.824462890625
2024-03-22T00:00:00,170.7262420654297
2024-03-25T00:00:00,169.3091583251953
2024-03-26T00:00:00,168.17942810058594
2024-03-27T00:00:00,171.74697875976562
2024-03-28T00:00:00,169.93344116210938
2024-04-01T00:00:00,168.4965362548828
2024-04-02T00:00:00,167.31727600097656
2024-04-03T00:00:00,168.1199493408203
2024-04-04T00:00:00,167.29745483398438
2024-04-05T00:00:00,168.05059814453125
2024-04-08T00:00:00,166.9307861328125
2024-04-09T00:00:00,168.13978576660156
2024-04-10T00:00:00,166.26681518554688
2024-04-11T00:00:00,173.4613494873047
2024-04-12T00:00:00,174.957763671875
2024-04-15T00:00:00,171.13253784179688
2024-04-16T00:00:00,167.8524169921875
2024-04-17T00:00:00,166.48483276367188
2024-04-18T00:00:00,165.5334930419922
2024-04-19T00:00:00,163.51190185546875
2024-04-22T00:00:00,164.3443145751953
2024-04-23T00:00:00,165.39476013183594
2024-04-24T00:00:00,167.49566650390625
2024-04-25T00:00:00,168.35781860351562
2024-04-26T00:00:00,167.7731170654297
2024-04-29T00:00:00,171.93524169921875
2024-04-30T00:00:00,168.79383850097656
2024-05-01T00:00:00,167.7731170654297
2024-05-02T00:00:00,171.469482421875
2024-05-03T00:00:00,181.7261505126953
2024-05-06T00:00:00,180.07119750976562
2024-05-07T00:00:00,180.75497436523438
2024-05-08T00:00:00,181.09190368652344
2024-05-09T00:00:00,182.90541076660156
2024-05-10T00:00:00,181.64515686035156
2024-05-13T00:00:00,184.85035705566406
2024-05-14T00:00:00,185.9915313720703
2024-05-15T00:00:00,188.2639923095703
2024-05-16T00:00:00,188.38304138183594
2024-05-17T00:00:00,188.41281127929688
2024-05-20T00:00:00,189.57383728027344
2024-05-21T00:00:00,190.87379455566406
2024-05-22T00:00:00,189.43492126464844
2024-05-23T00:00:00,185.44577026367188
2024-05-24T00:00:00,188.52197265625
2024-05-28T00:00:00,188.53189086914062
2024-05-29T00:00:00,188.82957458496094
2024-05-30T00:00:00,189.82191467285156
2024-05-31T00:00:00,190.77455139160156
2024-06-03T00:00:00,192.54087829589844
2024-06-04T00:00:00,192.85842895507812
2024-06-05T00:00:00,194.36676025390625
2024-06-06T00:00:00,192.98744201660156
2024-06-07T00:00:00,195.3789520263672
2024-06-10T00:00:00,191.6378631591797
2024-06-11T00:00:00,205.56021118164062
2024-06-12T00:00:00,211.4347686767578
2024-06-13T00:00:00,212.59579467773438
2024-06-14T00:00:00,210.8592529296875
2024-06-17T00:00:00,215.00714111328125
2024-06-18T00:00:00,212.64540100097656
2024-06-20T00:00:00,208.07077026367188
2024-06-21T00:00:00,205.8975830078125
2024-06-24T00:00:00,206.54261779785156
2024-06-25T00:00:00,207.46546936035156
2024-06-26T00:00:00,211.61337280273438
2024-06-27T00:00:00,212.4568634033203
2024-06-28T00:00:00,209.00357055664062
